record_id,employee_id,date,scheduled_check_in_date,actual_check_in_date,scheduled_check_out_date,actual_check_out_date,late_minutes,is_late,is_absent,late_or_absent_reason
1,1,2024-11-15,2024-11-15 09:00:00,,2024-11-15 18:00:00,,0,False,True,병가
2,1,2024-11-16,2024-11-16 09:00:00,2024-11-16 08:56:00,2024-11-16 18:00:00,2024-11-16 18:27:00,0,False,False,
3,1,2024-11-17,2024-11-17 09:00:00,2024-11-17 08:48:00,2024-11-17 18:00:00,2024-11-17 18:33:00,0,False,False,
4,1,2024-11-18,2024-11-18 09:00:00,2024-11-18 08:54:00,2024-11-18 18:00:00,2024-11-18 18:13:00,0,False,False,
5,1,2024-11-19,2024-11-19 09:00:00,2024-11-19 08:54:00,2024-11-19 18:00:00,2024-11-19 17:39:00,0,False,False,
6,1,2024-11-20,2024-11-20 09:00:00,2024-11-20 09:10:00,2024-11-20 18:00:00,2024-11-20 18:46:00,10,True,False,교통 체증
7,1,2024-11-21,2024-11-21 09:00:00,2024-11-21 09:22:00,2024-11-21 18:00:00,2024-11-21 18:04:00,22,True,False,교통 체증
8,2,2024-11-15,2024-11-15 09:00:00,2024-11-15 09:25:00,2024-11-15 18:00:00,2024-11-15 17:47:00,25,True,False,건강 문제
9,2,2024-11-16,2024-11-16 09:00:00,2024-11-16 09:11:00,2024-11-16 18:00:00,2024-11-16 18:48:00,11,True,False,개인 사정
10,2,2024-11-17,2024-11-17 09:00:00,2024-11-17 09:05:00,2024-11-17 18:00:00,2024-11-17 17:37:00,5,True,False,개인 사정
11,2,2024-11-18,2024-11-18 09:00:00,,2024-11-18 18:00:00,,0,False,True,가족 행사
12,2,2024-11-19,2024-11-19 09:00:00,2024-11-19 08:47:00,2024-11-19 18:00:00,2024-11-19 18:42:00,0,False,False,
13,2,2024-11-20,2024-11-20 09:00:00,2024-11-20 09:16:00,2024-11-20 18:00:00,2024-11-20 18:58:00,16,True,False,건강 문제
14,2,2024-11-21,2024-11-21 09:00:00,2024-11-21 09:01:00,2024-11-21 18:00:00,2024-11-21 17:30:00,1,True,False,개인 사정
15,3,2024-11-15,2024-11-15 09:00:00,2024-11-15 09:19:00,2024-11-15 18:00:00,2024-11-15 17:38:00,19,True,False,개인 사정
